algorithm,array_size,time_taken
qs1,10000,0.028060436248779297
qs1,10000,0.030004501342773438
qs1,10000,0.027225971221923828
qs1,10000,0.02704167366027832
qs1,10000,0.027009248733520508
qs1,10000,0.02799248695373535
qs1,10000,0.02687525749206543
qs1,10000,0.02612018585205078
qs1,10000,0.02697467803955078
qs1,10000,0.02700328826904297
qs2,10000,0.03930258750915527
qs2,10000,0.037917137145996094
qs2,10000,0.0380549430847168
qs2,10000,0.03702592849731445
qs2,10000,0.03699898719787598
qs2,10000,0.03695058822631836
qs2,10000,0.03805279731750488
qs2,10000,0.036989688873291016
qs2,10000,0.037003517150878906
qs2,10000,0.03702235221862793
qs3,10000,0.03798699378967285
qs3,10000,0.03699541091918945
qs3,10000,0.03699779510498047
qs3,10000,0.03600811958312988
qs3,10000,0.037908315658569336
qs3,10000,0.039090633392333984
qs3,10000,0.03899955749511719
qs3,10000,0.03798556327819824
qs3,10000,0.03897380828857422
qs3,10000,0.039998531341552734
qs4,10000,0.036069393157958984
qs4,10000,0.0409550666809082
qs4,10000,0.04099130630493164
qs4,10000,0.03804945945739746
qs4,10000,0.03904986381530762
qs4,10000,0.04199957847595215
qs4,10000,0.03702235221862793
qs4,10000,0.03797340393066406
qs4,10000,0.03801155090332031
qs4,10000,0.0369875431060791
qs5,10000,0.035999298095703125
qs5,10000,0.03699541091918945
qs5,10000,0.037035465240478516
qs5,10000,0.03695797920227051
qs5,10000,0.036927223205566406
qs5,10000,0.03901195526123047
qs5,10000,0.037076473236083984
qs5,10000,0.03599882125854492
qs5,10000,0.036957740783691406
qs5,10000,0.03705334663391113
merge1,10000,0.040953874588012695
merge1,10000,0.04303431510925293
merge1,10000,0.041013479232788086
merge1,10000,0.040949344635009766
merge1,10000,0.041059255599975586
merge1,10000,0.04301857948303223
merge1,10000,0.04097294807434082
merge1,10000,0.04000425338745117
merge1,10000,0.0409550666809082
merge1,10000,0.041043758392333984
partition_sort,10000,0.022912263870239258
partition_sort,10000,0.028077125549316406
partition_sort,10000,0.02204108238220215
partition_sort,10000,0.022936105728149414
partition_sort,10000,0.022040367126464844
partition_sort,10000,0.021995067596435547
partition_sort,10000,0.02195453643798828
partition_sort,10000,0.021043062210083008
partition_sort,10000,0.02202129364013672
partition_sort,10000,0.022014617919921875
