algorithm,array_size,time_taken
qs1,10000,0.03123760223388672
qs1,10000,0.028994321823120117
qs1,10000,0.031003952026367188
qs1,10000,0.029997587203979492
qs1,10000,0.03000330924987793
qs1,10000,0.028989076614379883
qs1,10000,0.031040191650390625
qs1,10000,0.029959440231323242
qs1,10000,0.03000044822692871
qs1,10000,0.029999971389770508
qs1,10000,0.029998302459716797
qs1,10000,0.02899932861328125
qs1,10000,0.029001235961914062
qs1,10000,0.029000282287597656
qs1,10000,0.029999494552612305
qs2,10000,0.0430145263671875
qs2,10000,0.04098844528198242
qs2,10000,0.039980173110961914
qs2,10000,0.03899812698364258
qs2,10000,0.04099678993225098
qs2,10000,0.043003082275390625
qs2,10000,0.04802060127258301
qs2,10000,0.041010379791259766
qs2,10000,0.040099382400512695
qs2,10000,0.03901171684265137
qs2,10000,0.044998884201049805
qs2,10000,0.03902268409729004
qs2,10000,0.041976213455200195
qs2,10000,0.04101872444152832
qs2,10000,0.04099082946777344
qs3,10000,0.05401134490966797
qs3,10000,0.04300355911254883
qs3,10000,0.04700064659118652
qs3,10000,0.04199981689453125
qs3,10000,0.03999948501586914
qs3,10000,0.0409853458404541
qs3,10000,0.04001426696777344
qs3,10000,0.03900027275085449
qs3,10000,0.041015625
qs3,10000,0.037999868392944336
qs3,10000,0.03999948501586914
qs3,10000,0.042218685150146484
qs3,10000,0.04011678695678711
qs3,10000,0.0400242805480957
qs3,10000,0.048004865646362305
qs4,10000,0.048018693923950195
qs4,10000,0.04310321807861328
qs4,10000,0.05890345573425293
qs4,10000,0.04399561882019043
qs4,10000,0.04199981689453125
qs4,10000,0.03899788856506348
qs4,10000,0.04900193214416504
qs4,10000,0.03799843788146973
qs4,10000,0.039000511169433594
qs4,10000,0.03799629211425781
qs4,10000,0.04201674461364746
qs4,10000,0.04200124740600586
qs4,10000,0.04099774360656738
qs4,10000,0.041001319885253906
qs4,10000,0.036998748779296875
qs5,10000,0.03699970245361328
qs5,10000,0.03702712059020996
qs5,10000,0.03797268867492676
qs5,10000,0.037016868591308594
qs5,10000,0.03701591491699219
qs5,10000,0.03801417350769043
qs5,10000,0.03699970245361328
qs5,10000,0.03801536560058594
qs5,10000,0.036004066467285156
qs5,10000,0.04008197784423828
qs5,10000,0.04611802101135254
qs5,10000,0.038004398345947266
qs5,10000,0.044016361236572266
qs5,10000,0.03800058364868164
qs5,10000,0.03909444808959961
merge1,10000,0.04599404335021973
merge1,10000,0.04400205612182617
merge1,10000,0.041016578674316406
merge1,10000,0.04521751403808594
merge1,10000,0.044092416763305664
merge1,10000,0.041904449462890625
merge1,10000,0.04099607467651367
merge1,10000,0.0409998893737793
merge1,10000,0.042000770568847656
merge1,10000,0.041992902755737305
merge1,10000,0.04101276397705078
merge1,10000,0.04198598861694336
merge1,10000,0.03899979591369629
merge1,10000,0.04199981689453125
merge1,10000,0.03997993469238281
partition_sort,10000,0.021986961364746094
partition_sort,10000,0.02301478385925293
partition_sort,10000,0.022998809814453125
partition_sort,10000,0.02198505401611328
partition_sort,10000,0.02301645278930664
partition_sort,10000,0.022986888885498047
partition_sort,10000,0.032007455825805664
partition_sort,10000,0.025008678436279297
partition_sort,10000,0.02299642562866211
partition_sort,10000,0.022003650665283203
partition_sort,10000,0.022079944610595703
partition_sort,10000,0.02200007438659668
partition_sort,10000,0.021985769271850586
partition_sort,10000,0.02201223373413086
partition_sort,10000,0.02200007438659668
